"uri"	"labelBBCH"	"label"	"definition"	"number"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_principalStage_BBCH0"	"BBCH 0"	"débourrement (stade principal)"	"Bourgeonnement ou débourrement (source BBCH monographie)"	"0"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_principalStage_BBCH1"	"BBCH 1"	"développement des feuilles"	"Développement des feuilles (source BBCH monographie)"	"1"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_principalStage_BBCH5"	"BBCH 5"	"apparition des inflorescences"	"Apparition des inflorescences (source BBCH monographie)"	"5"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_principalStage_BBCH6"	"BBCH 6"	"floraison"	"La floraison (source BBCH monographie)"	"6"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_principalStage_BBCH7"	"BBCH 7"	"développement des fruits"	"Développement des fruits (source BBCH monographie)"	"7"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_principalStage_BBCH8"	"BBCH 8"	"maturation des baies"	"Maturation des baies (source BBCH monographie)"	"8"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_principalStage_BBCH9"	"BBCH 9"	"sénescence"	"Sénescence ou début du repos végétatif (source BBCH monographie)"	"9"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_secondaryStage_BBCH00"	"BBCH 00"	"dormance"	"Dormance: les bourgeons d’hiver sont pointus à arrondis, suivant la variété ils sont brun clair à foncé et les écailles sont plus ou moins appliquées aux bourgeons (source BBCH monographie)"	"00"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_secondaryStage_BBCH01"	"BBCH 01"	"début du gonflement des bourgeons"	"Début du gonflement des bourgeons: les bourgeons s’allongent à l’intérieur des écailles (source BBCH monographie)"	"01"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_secondaryStage_BBCH03"	"BBCH 03"	"fin du gonflement des bourgeons"	"fin du gonflement des bourgeons, les bourgeons ne sont pas encore verts (source BBCH monographie)"	"03"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_secondaryStage_BBCH05"	"BBCH 05"	"stade de la bourre"	"«stade de la bourre»: une protection cotonneuse est nettement visible (source BBCH monographie)"	"05"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_secondaryStage_BBCH07"	"BBCH 07"	"début de l’éclatement des bourgeons"	"Début de l’éclatement des bourgeons (débourrement): l’extrémité verte de la jeune pousse est juste visible (source BBCH monographie)"	"07"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_secondaryStage_BBCH09"	"BBCH 09"	"débourrement"	"Débourrement: l’extrémité verte de la jeune pousse est nettement visible (source BBCH monographie)"	"09"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_secondaryStage_BBCH11"	"BBCH 11"	"première feuille étalée"	"première feuille étalée et écartée de la pousse (source BBCH monographie)"	"11"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_secondaryStage_BBCH12"	"BBCH 12"	"2 feuilles étalées"	"2 feuilles étalées (source BBCH monographie)"	"12"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_secondaryStage_BBCH13"	"BBCH 13"	"3 feuilles étalées"	"3 feuilles étalées (source BBCH monographie)"	"13"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_secondaryStage_BBCH14"	"BBCH 14"	"4 feuilles étalées"	"4 feuilles étalées (source BBCH monographie)"	"14"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_secondaryStage_BBCH15"	"BBCH 15"	"5 feuilles étalées"	"5 feuilles étalées (source BBCH monographie)"	"15"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_secondaryStage_BBCH16"	"BBCH 16"	"6 feuilles étalées"	"6 feuilles étalées (source BBCH monographie)"	"16"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_secondaryStage_BBCH17"	"BBCH 17"	"7 feuilles étalées"	"7 feuilles étalées (source BBCH monographie)"	"17"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_secondaryStage_BBCH18"	"BBCH 18"	"8 feuilles étalées"	"8 feuilles étalées (source BBCH monographie)"	"18"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_secondaryStage_BBCH19"	"BBCH 19"	"9 >= feuilles étalées"	"9 ou davantage de feuilles sont étalées (source BBCH monographie)"	"19"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_secondaryStage_BBCH53"	"BBCH 53"	"grappes visibles"	"les grappes (inflorescences) sont nettement visibles (source BBCH monographie)"	"53"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_secondaryStage_BBCH55"	"BBCH 55"	"grappes s’allongent"	"les grappes augmentent de taille, les boutons floraux sont agglomérés (source BBCH monographie)"	"55"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_secondaryStage_BBCH57"	"BBCH 57"	"fleurs de séparent"	"les grappes sont bien développées, les fleurs se séparent (source BBCH monographie)"	"57"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_secondaryStage_BBCH60"	"BBCH 60"	"premiers capuchons tombent"	"les premiers capuchons floraux se séparent du réceptacle (source BBCH monographie)"	"60"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_secondaryStage_BBCH61"	"BBCH 61"	"début de la floraison"	"début de la floraison: 10% des capuchons floraux sont tombés (source BBCH monographie)"	"61"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_secondaryStage_BBCH62"	"BBCH 62"	"20% des capuchons floraux sont tombés"	"20% des capuchons floraux sont tombés (source BBCH monographie)"	"62"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_secondaryStage_BBCH63"	"BBCH 63"	"floraison partielle"	"floraison partielle: 30% des capuchons floraux sont tombés (source BBCH monographie)"	"63"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_secondaryStage_BBCH64"	"BBCH 64"	"40% des capuchons floraux sont tombés"	"40% des capuchons floraux sont tombés (source BBCH monographie)"	"64"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_secondaryStage_BBCH65"	"BBCH 65"	"mi-floraison"	"mi-floraison: 50% des capuchons floraux sont tombés (source BBCH monographie)"	"65"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_secondaryStage_BBCH66"	"BBCH 66"	"60% des capuchons floraux sont tombés"	"60% des capuchons floraux sont tombés (source BBCH monographie)"	"66"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_secondaryStage_BBCH67"	"BBCH 67"	"70% des capuchons floraux sont tombés"	"70% des capuchons floraux sont tombés (source BBCH monographie)"	"67"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_secondaryStage_BBCH68"	"BBCH 68"	"la floraison s’achève"	"la floraison s’achève: 80% des capuchons floraux sont tombés (source BBCH monographie)"	"68"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_secondaryStage_BBCH69"	"BBCH 69"	"fin floraison"	"fin de la floraison (source BBCH monographie)"	"69"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_secondaryStage_BBCH71"	"BBCH 71"	"nouaison"	"nouaison: début du développement des fruits, toutes les pièces florales sont tombées (source BBCH monographie)"	"71"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_secondaryStage_BBCH73"	"BBCH 73"	"plombs de chasse"	"les fruits (baies) ont la grosseur de plombs de chasse, les grappes commencent à s’incliner vers le bas (source BBCH monographie)"	"73"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_secondaryStage_BBCH75"	"BBCH 75"	"petit pois"	"les baies ont la grosseur de petit-pois, les grappes sont en position verticale (source BBCH monographie)"	"75"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_secondaryStage_BBCH77"	"BBCH 77"	"début fermeture de la grappe"	"début de la fermeture de la grappe (les baies commencent à se toucher) (source BBCH monographie)"	"77"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_secondaryStage_BBCH79"	"BBCH 79"	"fin fermeture de la grappe"	"la fermeture de la grappe est complète, les fruits ont fini de grossir (source BBCH monographie)"	"79"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_secondaryStage_BBCH81"	"BBCH 81"	"début maturation"	"début de la maturation: les baies commencent à s’éclaircir et/ou à changer de couleur (source BBCH monographie)"	"81"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_secondaryStage_BBCH83"	"BBCH 83"	"changement de couleur en cours"	"éclaircissement et/ou changement de couleur en cours (source BBCH monographie)"	"83"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_secondaryStage_BBCH85"	"BBCH 85"	"véraison"	"véraison: les baies deviennent molles au toucher (source BBCH monographie)"	"85"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_secondaryStage_BBCH89"	"BBCH 89"	"les baies sont mûres pour la vendange"	"les baies sont mûres pour la vendange (source BBCH monographie)"	"89"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_secondaryStage_BBCH91"	"BBCH 91"	"aôutement est terminé"	"après la vendange: l’aoûtement du bois est terminé (source BBCH monographie)"	"91"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_secondaryStage_BBCH92"	"BBCH 92"	"début coloration des feuilles"	"début de la coloration des feuilles (source BBCH monographie)"	"92"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_secondaryStage_BBCH93"	"BBCH 93"	"début chute des feuilles"	"début de la chute des feuilles (source BBCH monographie)"	"93"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_secondaryStage_BBCH95"	"BBCH 95"	"50% des feuilles sont tombées"	"50% des feuilles sont tombées (source BBCH monographie)"	"95"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_secondaryStage_BBCH97"	"BBCH 97"	"fin chute des feuilles"	"fin de la chute des feuilles (source BBCH monographie)"	"97"
"http://ontology.inrae.fr/ppdo/resource/grapevine/bbch_grapevine_secondaryStage_BBCH99"	"BBCH 99"	"baies mûres en phase de conservation"	"baies mûres en phase de conservation (source BBCH monographie)"	"99"
