uri,rdf_type,rdf_type_name,name,synonyms,code,production_year,description,species,species_name,variety,variety_name,accession,accession_name,institute,website
"http://vitis-explorer.inrae.fr/id/germplasm/variety.so4__slection_oppenheim_4","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"SO4 = Sélection Oppenheim 4",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.50001_119_x_rac3","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"50001_119 x RAC3",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.chardonnay_b","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"Chardonnay B",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.pinot_noir","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"Pinot noir",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.chardonnay","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,Chardonnay,,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0006e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0006E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0002e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0002E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0001e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0001E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0005e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0005E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0004e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0004E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0003e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0003E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0007e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0007E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0008e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0008E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0009c","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0009C  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0010d","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0010D  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0009e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0009E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0010e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0010E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0011d","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0011D  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0011e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0011E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0012e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0012E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0012d","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0012D  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0013e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0013E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0013d","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0013D  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0014d","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0014D  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0014e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0014E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0017e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0017E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0016e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0016E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0015e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0015E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0018e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0018E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0020e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0020E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0021e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0021E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0023e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0023E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0022e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0022E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0025e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0025E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0024e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0024E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0026e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0026E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0027e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0027E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0028e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0028E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0030e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0030E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0032e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0032E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0031e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0031E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0032d","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0032D  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0033d","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0033D  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0031d","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0031D  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0033e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0033E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0034e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0034E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0035e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0035E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0037e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0037E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0036e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0036E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0039e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0039E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0038e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0038E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0040e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0040E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0041e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0041E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0042e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0042E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0044e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0044E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0046e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0046E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0045e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0045E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0047e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0047E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0048e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0048E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0049e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0049E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0051e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0051E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0053d","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0053D  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0052e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0052E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0054e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0054E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0054d","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0054D  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0053e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0053E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0055d","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0055D  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0055e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0055E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0056e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0056E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0057e","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,"0057E  ",,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0010c","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,0010C,,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0009d","http://www.opensilex.org/vocabulary/oeso#Variety",Variété,0009D,,,,,"http://aims.fao.org/aos/agrovoc/c_8283",vigne,,,,,,
