prop_SI,prop_read,Plot,MustObject,Sample,Wine,col_type,col_source,col_function,col_options
uri,uri,TRUE,TRUE,TRUE,TRUE,,,,
type,type,TRUE,TRUE,TRUE,TRUE,,,,
name,Nom,TRUE,TRUE,TRUE,TRUE,,,,
vocabulary:hasCreationDate,DateCreation,TRUE,TRUE,TRUE,TRUE,date,,"function(x) {as.Date(x,format='%d/%m/%Y')}",'date'
vocabulary:hasDestructionDate,DateDestruction,TRUE,TRUE,TRUE,TRUE,date,,"function(x) {as.Date(x,format='%d/%m/%Y')}",'date'
vocabulary:isHosted,InstallTech,TRUE,TRUE,TRUE,TRUE,,,,
vocabulary:isPartOf,URIParent,TRUE,TRUE,TRUE,TRUE,,,,
rdfs:comment,Description,TRUE,TRUE,TRUE,TRUE,,,,
Vocabulary:hasGeometry,GeospatialCoord,TRUE,TRUE,TRUE,TRUE,,,,
vocabulary:hasFactorLevel,NiveauFacteur,TRUE,TRUE,TRUE,TRUE,,,,
vocabulary:hasGermplasm,Greffon,TRUE,FALSE,FALSE,TRUE,dropdown,"c(NA,sort(germplasm$name))",,"c(NA,sort(germplasm$name))"
vocabulary:hasReplication,R̩plication,TRUE,TRUE,TRUE,TRUE,,,,
